"film_id","inventory_id","title","last_rent"
1,2,"Academy Dinosaur","27 days 68:34:00"
1,7,"Academy Dinosaur","20 days 68:03:00"
1,1,"Academy Dinosaur","21 days 04:47:00"
1,6,"Academy Dinosaur","16 days 27:32:00"
1,8,"Academy Dinosaur","9 days 22:16:00"
1,3,"Academy Dinosaur","5 days 21:25:00"
1,4,"Academy Dinosaur","2 days 25:52:00"
2,10,"Ace Goldfinger","17 days 02:19:00"
2,11,"Ace Goldfinger","12 days 41:02:00"
2,9,"Ace Goldfinger","3 days 01:12:00"
3,14,"Adaptation Holes","15 days 70:38:00"
3,15,"Adaptation Holes","11 days 65:26:00"
3,12,"Adaptation Holes","5 days 20:10:00"
3,13,"Adaptation Holes","3 days 25:52:00"
4,17,"Affair Prejudice","20 days 54:10:00"
4,19,"Affair Prejudice","16 days 64:42:00"
4,20,"Affair Prejudice","16 days 09:18:00"
4,16,"Affair Prejudice","15 days 11:32:00"
4,22,"Affair Prejudice","13 days 21:16:00"
4,18,"Affair Prejudice","9 days 06:51:00"
4,21,"Affair Prejudice","7 days 40:35:00"
5,23,"African Egg","30 days 29:49:00"
5,24,"African Egg","30 days 27:10:00"
5,25,"African Egg","14 days 43:10:00"
6,30,"Agent Truman","28 days 67:43:00"
6,27,"Agent Truman","24 days 55:43:00"
6,26,"Agent Truman","18 days 111:03:00"
6,29,"Agent Truman","17 days 62:35:00"
6,31,"Agent Truman","12 days 26:16:00"
6,28,"Agent Truman","10 days 22:58:00"
7,33,"Airplane Sierra","25 days 90:08:00"
7,32,"Airplane Sierra","14 days 06:06:00"
7,34,"Airplane Sierra","10 days 45:46:00"
7,35,"Airplane Sierra","9 days 69:28:00"
7,36,"Airplane Sierra","1 day 22:03:00"
8,37,"Airport Pollock","30 days 14:17:00"
8,40,"Airport Pollock","25 days 33:59:00"
8,39,"Airport Pollock","20 days 46:49:00"
8,38,"Airport Pollock","12 days 01:16:00"
9,41,"Alabama Devil","17 days 24:54:00"
9,45,"Alabama Devil","15 days 04:35:00"
9,44,"Alabama Devil","11 days 08:46:00"
9,42,"Alabama Devil","10 days 27:39:00"
9,43,"Alabama Devil","10 days 27:18:00"
10,50,"Aladdin Calendar","19 days 54:07:00"
10,52,"Aladdin Calendar","17 days 57:20:00"
10,46,"Aladdin Calendar","17 days 46:38:00"
10,49,"Aladdin Calendar","18 days 09:49:00"
10,51,"Aladdin Calendar","15 days 27:36:00"
10,47,"Aladdin Calendar","10 days 20:04:00"
10,48,"Aladdin Calendar","5 days 09:37:00"
11,58,"Alamo Videotape","24 days 71:20:00"
11,59,"Alamo Videotape","22 days 63:21:00"
11,53,"Alamo Videotape","18 days 27:23:00"
11,56,"Alamo Videotape","15 days 68:52:00"
11,55,"Alamo Videotape","14 days 24:29:00"
11,57,"Alamo Videotape","12 days 21:00:00"
11,54,"Alamo Videotape","3 days 20:19:00"
12,66,"Alaska Phantom","26 days 45:32:00"
12,65,"Alaska Phantom","24 days 30:05:00"
12,63,"Alaska Phantom","23 days 42:03:00"
12,62,"Alaska Phantom","20 days 48:27:00"
12,61,"Alaska Phantom","17 days 43:36:00"
12,60,"Alaska Phantom","10 days 20:52:00"
12,64,"Alaska Phantom","7 days 25:02:00"
13,68,"Ali Forever","15 days 25:02:00"
13,70,"Ali Forever","7 days 25:41:00"
13,67,"Ali Forever","6 days 40:10:00"
13,69,"Ali Forever","5 days 05:43:00"
15,72,"Alien Center","24 days 51:07:00"
15,71,"Alien Center","23 days 19:46:00"
15,75,"Alien Center","16 days 25:15:00"
15,76,"Alien Center","14 days 70:35:00"
15,73,"Alien Center","12 days 45:58:00"
15,74,"Alien Center","8 days 25:36:00"
16,79,"Alley Evolution","27 days 47:28:00"
16,78,"Alley Evolution","23 days 48:40:00"
16,80,"Alley Evolution","11 days 29:37:00"
16,77,"Alley Evolution","10 days 19:18:00"
17,86,"Alone Trip","24 days 83:18:00"
17,83,"Alone Trip","15 days 26:26:00"
17,85,"Alone Trip","12 days 65:59:00"
17,84,"Alone Trip","13 days 21:33:00"
17,82,"Alone Trip","10 days 59:26:00"
17,81,"Alone Trip","6 days 20:52:00"
18,87,"Alter Victory","25 days 33:01:00"
18,88,"Alter Victory","21 days 36:59:00"
18,89,"Alter Victory","15 days 26:49:00"
18,92,"Alter Victory","14 days 30:07:00"
18,90,"Alter Victory","11 days 03:42:00"
18,91,"Alter Victory","9 days 33:57:00"
19,94,"Amadeus Holy","27 days 33:27:00"
19,96,"Amadeus Holy","17 days 27:27:00"
19,95,"Amadeus Holy","15 days 68:11:00"
19,98,"Amadeus Holy","12 days 48:16:00"
19,97,"Amadeus Holy","12 days 46:37:00"
19,93,"Amadeus Holy","6 days 03:39:00"
20,99,"Amelie Hellfighters","22 days 65:32:00"
20,100,"Amelie Hellfighters","13 days 24:48:00"
20,101,"Amelie Hellfighters","9 days 22:52:00"
21,103,"American Circus","32 days 69:38:00"
21,105,"American Circus","25 days 26:39:00"
21,104,"American Circus","18 days 47:57:00"
21,102,"American Circus","13 days 68:07:00"
21,106,"American Circus","7 days 44:36:00"
21,107,"American Circus","7 days 27:00:00"
22,110,"Amistad Midsummer","16 days 32:57:00"
22,109,"Amistad Midsummer","12 days 39:17:00"
22,114,"Amistad Midsummer","13 days 05:49:00"
22,111,"Amistad Midsummer","12 days 29:31:00"
22,113,"Amistad Midsummer","11 days 41:59:00"
22,108,"Amistad Midsummer","12 days 10:13:00"
22,112,"Amistad Midsummer","8 days 20:51:00"
23,117,"Anaconda Confessions","23 days 45:16:00"
23,118,"Anaconda Confessions","18 days 63:43:00"
23,119,"Anaconda Confessions","18 days 37:57:00"
23,116,"Anaconda Confessions","17 days 23:29:00"
23,115,"Anaconda Confessions","9 days 29:59:00"
