"sum_clients","city","country","last_payment"
"45","Effon-Alaiye","Nigeria","2007-04-30"
"42","Tegal","Indonesia","2007-04-30"
"40","Duisburg","Germany","2007-04-30"
"39","Bilbays","Egypt","2007-05-14"
"39","Gingoog","Philippines","2007-05-14"
"39","Jinchang","China","2007-05-14"
"38","Deba Habe","Nigeria","2007-04-30"
"38","Probolinggo","Indonesia","2007-05-14"
"37","Satna","India","2007-04-30"
"36","Nuuk","Greenland","2007-05-14"
"35","Ahmadnagar","India","2007-05-14"
"35","Arlington","United States","2007-05-14"
"35","ostka","Ukraine","2007-04-30"
"35","Shimonoseki","Japan","2007-04-30"
"34","Ashdod","Israel","2007-04-30"
"34","Aurora","United States","2007-04-30"
"34","Bucuresti","Romania","2007-05-14"
"34","Czestochowa","Poland","2007-04-30"
"34","Kansas City","United States","2007-04-30"
"34","Nador","Morocco","2007-04-30"
"34","Olomouc","Czech Republic","2007-05-14"
"34","Shimoga","India","2007-04-30"
"33","Bergamo","Italy","2007-04-30"
"33","Grand Prairie","United States","2007-05-14"
"33","Ibirit","Brazil","2007-05-14"
"33","Kitwe","Zambia","2007-05-14"
"33","Nam Dinh","Vietnam","2007-05-14"
"33","Pjatigorsk","Russian Federation","2007-04-30"
"33","Salala","Oman","2007-04-30"
"32","Allende","Mexico","2007-05-14"
"32","Angra dos Reis","Brazil","2007-05-14"
"32","Araatuba","Brazil","2007-04-30"
"32","Bratislava","Slovakia","2007-04-30"
"32","Denizli","Turkey","2007-04-30"
"32","Ede","Netherlands","2007-04-30"
"32","Fukuyama","Japan","2007-05-14"
"32","Gaziantep","Turkey","2007-04-30"
"32","Hanoi","Vietnam","2007-04-30"
"32","Hidalgo","Mexico","2007-04-30"
"32","Joliet","United States","2007-04-30"
"32","Mwanza","Tanzania","2007-04-30"
"32","Nezahualcyotl","Mexico","2007-04-30"
"32","Okinawa","Japan","2007-04-30"
"32","Otsu","Japan","2007-04-30"
"32","Santiago de Compostela","Spain","2007-04-30"
"32","Tarlac","Philippines","2007-04-30"
"32","Vitria de Santo Anto","Brazil","2007-04-30"
"32","Yamuna Nagar","India","2007-05-14"
"31","Balikesir","Turkey","2007-04-30"
"31","Bislig","Philippines","2007-04-30"
"31","Clarksville","United States","2007-04-30"
"31","Cuauhtmoc","Mexico","2007-04-30"
"31","Dongying","China","2007-04-30"
"31","Hamilton","New Zealand","2007-04-30"
"31","Hoshiarpur","India","2007-04-30"
"31","Jamalpur","Bangladesh","2007-04-30"
"31","Jining","China","2007-04-30"
"31","Niznekamsk","Russian Federation","2007-04-30"
"31","Ocumare del Tuy","Venezuela","2007-04-30"
"31","Palghat (Palakkad)","India","2007-04-30"
"31","Ponce","Puerto Rico","2007-04-30"
"31","Shahr-e Kord","Iran","2007-04-30"
"31","Shivapuri","India","2007-04-30"
"31","Siliguri (Shiliguri)","India","2007-04-30"
"31","Tanshui","Taiwan","2007-04-30"
"31","Tokat","Turkey","2007-05-14"
"31","Uruapan","Mexico","2007-05-14"
"30","Adana","Turkey","2007-04-30"
"30","Arak","Iran","2007-04-30"
"30","Arecibo","Puerto Rico","2007-05-14"
"30","Atinsk","Russian Federation","2007-04-30"
"30","Banjul","Gambia","2007-04-30"
"30","Barcelona","Venezuela","2007-04-30"
"30","Beni-Mellal","Morocco","2007-05-14"
"30","Boa Vista","Brazil","2007-05-14"
"30","Bradford","United Kingdom","2007-04-30"
"30","Celaya","Mexico","2007-04-30"
"30","Ciomas","Indonesia","2007-05-14"
"30","Coacalco de Berriozbal","Mexico","2007-05-14"
"30","Compton","United States","2007-04-30"
"30","Cuman","Venezuela","2007-04-30"
"30","Esfahan","Iran","2007-04-30"
"30","Gandhinagar","India","2007-04-30"
"30","Hunuco","Peru","2007-04-29"
"30","Juiz de Fora","Brazil","2007-05-14"
"30","Kamyin","Russian Federation","2007-04-30"
"30","Katihar","India","2007-04-30"
"30","Kermanshah","Iran","2007-04-30"
"30","Naala-Porto","Mozambique","2007-04-30"
"30","Nabereznyje Telny","Russian Federation","2007-04-30"
"30","Po","Brazil","2007-05-14"
"30","Qomsheh","Iran","2007-04-30"
"30","Sal","Morocco","2007-05-14"
"30","Santa Brbara dOeste","Brazil","2007-04-27"
"30","Sterling Heights","United States","2007-04-30"
"30","Sungai Petani","Malaysia","2007-04-30"
"30","Talavera","Philippines","2007-04-30"
"30","Tonghae","South Korea","2007-05-14"
"29","Avellaneda","Argentina","2007-04-30"
"29","Baicheng","China","2007-05-14"
"29","Brindisi","Italy","2007-04-30"
"29","Chandrapur","India","2007-04-30"
"29","Escobar","Argentina","2007-04-30"
"29","Faaa","French Polynesia","2007-05-14"
"29","Fontana","United States","2007-04-30"
"29","guas Lindas de Gois","Brazil","2007-05-14"
"29","Huixquilucan","Mexico","2007-04-30"
"29","Jos Azueta","Mexico","2007-04-30"
"29","Mahajanga","Madagascar","2007-04-30"
"29","Nantou","Taiwan","2007-04-30"
"29","Nha Trang","Vietnam","2007-05-14"
"29","Okayama","Japan","2007-04-30"
"29","Parbhani","India","2007-04-30"
"29","Plock","Poland","2007-04-30"
"29","Ranchi","India","2007-05-14"
"29","Salzburg","Austria","2007-04-30"
"29","Santa F","Argentina","2007-05-14"
"29","Smolensk","Russian Federation","2007-05-14"
"29","Sultanbeyli","Turkey","2007-04-30"
"29","Varanasi (Benares)","India","2007-05-14"
"29","Zhezqazghan","Kazakstan","2007-05-14"
"28","Akron","United States","2007-04-30"
"28","Basel","Switzerland","2007-05-14"
"28","Bhimavaram","India","2007-04-30"
"28","Brescia","Italy","2007-05-14"
"28","Brockton","United States","2007-04-30"
"28","Charlotte Amalie","Virgin Islands, U.S.","2007-05-14"
"28","Chatsworth","South Africa","2007-05-14"
"28","Chungho","Taiwan","2007-04-30"
"28","Datong","China","2007-04-27"
"28","Daxian","China","2007-05-14"
"28","Hubli-Dharwad","India","2007-04-30"
"28","Jodhpur","India","2007-04-30"
"28","Kirovo-Tepetsk","Russian Federation","2007-04-30"
"28","Korolev","Russian Federation","2007-04-30"
"28","Lethbridge","Canada","2007-05-14"
"28","Loja","Ecuador","2007-04-30"
"28","Nagaon","India","2007-05-14"
"28","Novi Sad","Yugoslavia","2007-04-30"
"28","Ozamis","Philippines","2007-04-30"
"28","Pachuca de Soto","Mexico","2007-05-14"
"28","Pavlodar","Kazakstan","2007-04-30"
"28","Qalyub","Egypt","2007-04-30"
"28","San Bernardino","United States","2007-04-30"
"28","San Felipe del Progreso","Mexico","2007-04-30"
"28","Shikarpur","Pakistan","2007-04-29"
"28","So Leopoldo","Brazil","2007-04-30"
"28","Sorocaba","Brazil","2007-04-30"
"28","Sunnyvale","United States","2007-04-30"
"28","Syrakusa","Italy","2007-04-30"
"28","Tianjin","China","2007-04-30"
"28","Torren","Mexico","2007-04-30"
"28","Valparai","India","2007-04-29"
"28","Vancouver","Canada","2007-04-30"
"28","Xiangtan","China","2007-04-30"
"27","Alessandria","Italy","2007-04-30"
"27","Amroha","India","2007-04-30"
"27","Antofagasta","Chile","2007-05-14"
"27","Apeldoorn","Netherlands","2007-04-30"
